City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
87,Kamenka,RU,51.3223,42.7678,45.19,95,100,13.87,overcast clouds
88,Yar-Sale,RU,66.8333,70.8333,34.34,90,100,24.38,overcast clouds
89,Marsaxlokk,MT,35.8419,14.5431,72.21,78,40,13.8,scattered clouds
90,Dongying,CN,37.4564,118.4856,79.39,27,69,5.44,broken clouds
91,Saint-Pierre,RE,-21.3393,55.4781,73.08,68,20,5.75,few clouds
92,Kismayo,SO,-0.3582,42.5454,80.4,82,100,14.52,overcast clouds
93,Camacha,PT,33.0833,-16.3333,69.22,60,20,14.97,few clouds
94,Constitucion,CL,-35.3333,-72.4167,56.66,70,100,8.75,light rain
95,Erie,US,42.7667,-78.6664,70.25,84,100,8.99,overcast clouds
96,Gondanglegi,ID,-7.7479,112.0132,75.76,91,92,3.31,overcast clouds
97,Copala,MX,16.65,-98.9833,84.11,54,47,3.47,scattered clouds
98,Tasiilaq,GL,65.6145,-37.6368,35.76,90,100,2.73,overcast clouds
99,Mahibadhoo,MV,3.7833,72.9667,83.82,77,85,13.78,overcast clouds
100,Barrow,US,71.2906,-156.7887,21.22,93,100,8.05,mist
101,Norman Wells,CA,65.282,-126.8329,42.73,60,78,3.71,broken clouds
102,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,45,11.97,scattered clouds
103,Guerrero Negro,MX,27.9769,-114.0611,63.97,66,0,11.43,clear sky
104,Natal,BR,-5.795,-35.2094,79.45,94,75,13.8,shower rain
105,Naron,ES,43.5167,-8.1528,65.05,94,100,7.0,overcast clouds
106,Avarua,CK,-21.2078,-159.775,75.25,94,75,4.61,light intensity shower rain
107,Ambilobe,MG,-13.2,49.05,75.07,72,66,3.8,broken clouds
108,Rochester,US,43.1548,-77.6156,79.61,73,75,16.11,broken clouds
109,Klaksvik,FO,62.2266,-6.589,50.92,87,75,6.78,broken clouds
110,Kahului,US,20.8947,-156.47,74.84,77,40,8.01,scattered clouds
111,Nome,US,64.5011,-165.4064,57.27,29,0,17.27,clear sky
112,Mar Del Plata,AR,-38.0023,-57.5575,61.95,57,0,11.5,clear sky
113,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,6.91,broken clouds
114,Tagana-An,PH,9.6972,125.5856,79.07,86,97,4.92,overcast clouds
115,Ribeira Grande,PT,38.5167,-28.7,66.6,94,75,4.61,broken clouds
116,El Dovio,CO,4.5079,-76.2362,74.37,68,90,0.78,overcast clouds
117,Airai,TL,-8.9266,125.4092,58.69,93,36,3.29,scattered clouds
118,Vadso,NO,70.0744,29.7487,41.88,81,75,10.36,broken clouds
119,Mehamn,NO,71.0357,27.8492,44.51,83,84,5.23,broken clouds
120,Baker City,US,44.7749,-117.8344,52.59,60,0,11.5,clear sky
121,Bumba,CD,2.1833,22.4667,83.64,56,100,1.14,overcast clouds
122,Castro,BR,-24.7911,-50.0119,65.82,37,0,4.07,clear sky
123,Severo-Kurilsk,RU,50.6789,156.125,40.42,96,99,16.15,overcast clouds
124,La Ronge,CA,55.1001,-105.2842,53.04,36,100,10.25,overcast clouds
125,Anadyr,RU,64.75,177.4833,35.49,86,90,6.13,overcast clouds
126,Tuktoyaktuk,CA,69.4541,-133.0374,27.88,67,36,7.29,scattered clouds
127,Dhidhdhoo,MV,6.8833,73.1,83.91,77,59,15.37,broken clouds
128,Hay River,CA,60.8156,-115.7999,35.56,100,100,5.75,light rain
129,Havre,FR,49.5833,0.3333,71.35,73,75,4.61,broken clouds
130,Whyalla,AU,-33.0333,137.5833,62.56,67,93,7.29,overcast clouds
131,Roma,US,43.2128,-75.4557,83.73,59,0,6.91,clear sky
132,Kapaa,US,22.0752,-159.319,75.18,96,75,9.22,broken clouds
133,San Cristobal,VE,7.7669,-72.225,78.98,42,14,10.65,few clouds
134,Shache,CN,38.4167,77.2406,74.39,27,100,11.83,overcast clouds
135,San Jose,US,37.3394,-121.895,69.93,58,20,3.44,few clouds
136,Simao,CN,22.7886,100.9748,64.0,98,81,3.11,broken clouds
137,Gannan,CN,47.9147,123.5031,65.53,37,67,7.11,broken clouds
138,Faanui,PF,-16.4833,-151.75,80.46,72,8,12.19,clear sky
139,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,77.47,15,26,2.59,scattered clouds
140,Salalah,OM,17.0151,54.0924,84.29,84,75,11.5,broken clouds
141,Bowen,AU,-20.0167,148.2333,70.07,83,100,11.34,overcast clouds
142,Pevek,RU,69.7008,170.3133,33.69,88,17,10.96,few clouds
143,Kyabe,TD,9.4515,18.9449,99.64,22,86,4.23,overcast clouds
144,Merauke,ID,-8.4667,140.3333,78.4,86,14,12.17,few clouds
145,Padang,ID,-0.9492,100.3543,78.17,87,89,2.98,overcast clouds
146,Gigmoto,PH,13.7796,124.39,81.07,85,100,9.1,overcast clouds
147,San Luis,AR,-33.295,-66.3356,69.67,28,75,17.34,broken clouds
148,Bluff,NZ,-46.6,168.3333,50.45,66,90,20.89,overcast clouds
149,Lata,PT,40.1629,-8.3327,74.07,57,72,11.97,broken clouds
150,Miandrivazo,MG,-19.5167,45.4667,78.96,45,2,1.68,clear sky
151,Coelho Neto,BR,-4.2567,-43.0128,84.2,66,23,5.48,few clouds
152,Mortka,RU,59.3322,66.0214,39.79,89,100,8.7,overcast clouds
153,Fairbanks,US,64.8378,-147.7164,56.08,48,40,10.36,scattered clouds
154,Aire-Sur-La-Lys,FR,50.6387,2.3988,75.92,56,100,2.62,overcast clouds
155,Cabo San Lucas,MX,22.8909,-109.9124,82.62,62,0,1.99,clear sky
156,Puerto Ayora,EC,-0.7393,-90.3518,76.96,77,29,9.86,scattered clouds
157,Amapa,BR,1.0,-52.0,81.36,76,59,4.68,broken clouds
158,Ulaangom,MN,49.9811,92.0667,64.9,31,85,2.01,overcast clouds
159,Nong Kung Si,TH,16.65,103.3,81.57,99,88,6.76,overcast clouds
160,Zalantun,CN,48.0,122.7167,59.14,52,45,5.06,scattered clouds
161,Chokurdakh,RU,70.6333,147.9167,31.1,99,100,2.55,light snow
162,Darnah,LY,32.767,22.6367,70.57,55,0,22.64,clear sky
163,Alofi,NU,-19.0595,-169.9187,79.07,74,18,13.22,light rain
164,Yaan,NG,7.3833,8.5667,85.12,62,97,5.68,overcast clouds
165,Sterling,US,39.0062,-77.4286,89.11,65,20,8.01,few clouds
166,Coos Bay,US,43.3665,-124.2179,54.32,91,75,3.44,broken clouds
167,Khislavichi,RU,54.1871,32.1582,51.76,64,84,10.45,broken clouds
168,Vardo,NO,70.3705,31.1107,37.38,93,100,16.11,light rain
169,Hakui,JP,36.8833,136.7833,59.13,93,11,10.63,few clouds
170,Zyryanka,RU,65.75,150.85,46.6,60,99,10.33,overcast clouds
171,Onega,RU,63.9061,38.1404,40.86,56,31,10.67,scattered clouds
172,Te Anau,NZ,-45.4167,167.7167,36.5,90,35,0.89,scattered clouds
173,East London,ZA,-33.0153,27.9116,62.74,77,5,5.01,clear sky
174,San Patricio,US,28.017,-97.5169,76.86,72,100,13.69,light rain
175,Kamen-Na-Obi,RU,53.7884,81.3423,61.12,60,72,21.59,broken clouds
176,Jamestown,US,42.097,-79.2353,71.06,81,100,16.11,overcast clouds
177,Murray Bridge,AU,-35.1167,139.2667,56.34,78,50,5.68,scattered clouds
178,Dingle,PH,10.9995,122.6711,77.59,90,100,4.41,overcast clouds
179,Torbay,CA,47.6666,-52.7314,61.29,46,78,10.56,broken clouds
180,Bubaque,GW,11.2833,-15.8333,78.71,74,92,12.97,overcast clouds
181,San Jeronimo,PE,-11.9472,-75.2829,59.18,51,83,3.89,broken clouds
182,Port Elizabeth,ZA,-33.918,25.5701,62.1,73,76,3.74,broken clouds
183,Burnie,AU,-41.0667,145.9167,43.95,88,12,5.19,few clouds
184,Denpasar,ID,-8.65,115.2167,80.26,88,20,5.75,few clouds
185,Port-Cartier,CA,50.0334,-66.8654,53.74,59,98,6.08,overcast clouds
186,College,US,64.8569,-147.8028,56.07,48,40,10.36,scattered clouds
187,Namibe,AO,-15.1961,12.1522,72.45,62,0,7.34,clear sky
188,Nouadhibou,MR,20.931,-17.0347,65.73,91,3,26.62,clear sky
189,Olafsvik,IS,64.8945,-23.7142,44.82,74,43,13.85,scattered clouds
190,Kavieng,PG,-2.5744,150.7967,82.96,68,77,16.42,broken clouds
191,Hithadhoo,MV,-0.6,73.0833,84.11,71,99,12.53,overcast clouds
192,Geraldton,AU,-28.7667,114.6,63.01,77,75,17.27,broken clouds
193,Sandpoint,US,48.2766,-116.5533,53.98,62,0,0.0,clear sky
194,Isangel,VU,-19.55,169.2667,75.83,86,77,7.61,broken clouds
195,Cananeia,BR,-25.0147,-47.9267,69.73,66,4,5.5,clear sky
196,Bethel,US,41.3712,-73.414,87.98,63,20,9.22,few clouds
197,Carnarvon,AU,-24.8667,113.6333,71.76,66,98,17.49,overcast clouds
198,Warri,NG,5.5167,5.75,80.94,81,87,5.28,moderate rain
199,Kalispell,US,48.1958,-114.3129,51.17,51,0,1.01,clear sky
200,Odessa,UA,46.4775,30.7326,65.53,49,27,16.87,scattered clouds
201,Meiktila,MM,20.8667,95.8667,81.1,70,55,13.87,broken clouds
202,Aklavik,CA,68.2191,-135.0107,26.6,86,100,6.91,light snow
203,Argelia,CO,2.2556,-77.2488,77.97,67,12,1.86,light rain
204,Wawa,NG,9.9022,4.4192,91.99,41,76,3.11,broken clouds
205,Lagoa,PT,39.05,-27.9833,62.24,95,99,4.76,light rain
206,Tiksi,RU,71.6872,128.8694,30.09,88,100,5.97,overcast clouds
207,Verkhnevilyuysk,RU,63.4453,120.3167,48.25,67,91,3.6,overcast clouds
208,Yerbogachen,RU,61.2767,108.0108,46.31,95,83,1.14,broken clouds
209,Coihaique,CL,-45.5752,-72.0662,40.95,65,40,4.61,scattered clouds
210,Mbini,GQ,1.574,9.6134,80.8,79,64,10.36,light rain
211,Bahia Honda,CU,22.9036,-83.1592,87.87,64,86,8.32,overcast clouds
212,New Norfolk,AU,-42.7826,147.0587,49.5,81,100,2.08,overcast clouds
213,Tantoyuca,MX,21.35,-98.2333,88.74,52,53,8.25,broken clouds
214,Quatre Cocos,MU,-20.2078,57.7625,75.31,72,19,16.31,light rain
215,Maragogi,BR,-9.0122,-35.2225,80.51,78,22,15.5,few clouds
216,Primorsk,UA,46.7348,36.3443,61.36,67,100,11.68,light rain
217,Mutoko,ZW,-17.397,32.2268,65.91,64,84,1.81,broken clouds
218,Pizarro,CO,4.9533,-77.366,82.89,76,28,6.04,light rain
219,Bonavista,CA,48.6499,-53.1147,51.24,66,96,14.52,overcast clouds
220,Pridonskoy,RU,51.6841,39.0727,46.96,93,100,6.71,light rain
221,Lorengau,PG,-2.0226,147.2712,82.4,72,93,10.02,overcast clouds
222,Pombas,CV,17.1503,-25.0201,78.58,72,37,12.46,scattered clouds
223,Baykit,RU,61.67,96.37,50.0,90,4,4.16,clear sky
224,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,light rain
225,Entre Rios,BR,-11.9419,-38.0844,79.21,64,53,9.62,broken clouds
226,Zemio,CF,5.0314,25.1361,81.68,61,93,1.43,overcast clouds
227,Santa Maria,BR,-29.6842,-53.8069,65.21,58,99,1.61,overcast clouds
228,Bafq,IR,31.6128,55.4107,80.13,10,0,8.66,clear sky
229,Abhar,IR,36.1468,49.218,66.96,20,26,6.29,scattered clouds
230,Magadan,RU,59.5667,150.8,38.53,98,100,17.18,moderate rain
231,Mareeba,AU,-17.0,145.4333,68.72,89,29,1.97,scattered clouds
232,Miraflores,MX,19.2167,-98.8083,75.87,30,5,2.15,clear sky
233,Sarangani,PH,5.4033,125.4636,82.6,74,100,5.5,overcast clouds
234,Nemuro,JP,43.3236,145.575,45.61,99,100,10.56,moderate rain
235,Teguise,ES,29.0605,-13.564,73.62,53,20,19.57,few clouds
236,Stykkisholmur,IS,65.0757,-22.7297,42.78,80,90,10.16,overcast clouds
237,Tacuarembo,UY,-31.7333,-55.9833,63.68,60,0,4.99,clear sky
238,Chuy,UY,-33.6971,-53.4616,63.93,54,0,3.02,clear sky
239,Muros,ES,42.7762,-9.0603,68.68,91,99,7.18,overcast clouds
240,El Tambo,CO,1.4181,-77.3968,65.79,60,20,4.61,few clouds
241,Abasolo,MX,20.45,-101.5167,84.94,17,0,1.74,clear sky
242,Apaseo El Alto,MX,20.45,-100.6167,76.95,20,0,3.87,clear sky
243,Naze,JP,28.3667,129.4833,63.52,74,99,4.27,overcast clouds
244,Kaitangata,NZ,-46.2817,169.8464,45.7,90,91,11.12,overcast clouds
245,Ulladulla,AU,-35.35,150.4667,54.5,81,100,7.31,light rain
246,Alberton,CA,46.8168,-64.0654,71.73,86,99,11.25,overcast clouds
247,Lamu,KE,-2.2717,40.902,80.82,82,71,13.91,broken clouds
248,Saint Anthony,US,45.0205,-93.218,53.65,49,100,17.27,overcast clouds
249,Lompoc,US,34.6391,-120.4579,59.85,82,100,3.44,mist
250,Tonj,SS,7.2737,28.6822,89.1,42,100,2.53,overcast clouds
251,Kemise,ET,10.7167,39.8667,78.26,19,32,4.9,scattered clouds
252,Talavera De La Reina,ES,39.9635,-4.8308,75.94,43,2,17.25,clear sky
253,Taunggyi,MM,20.7833,97.0333,67.17,77,41,2.06,scattered clouds
254,Dwarka,IN,22.2394,68.9678,83.03,84,45,21.77,scattered clouds
255,Hami,CN,42.8,93.45,82.53,12,98,10.16,overcast clouds
256,Sao Filipe,CV,14.8961,-24.4956,73.45,75,56,13.96,broken clouds
257,Chickasha,US,35.0526,-97.9364,62.76,36,0,16.11,clear sky
258,Carauari,BR,-4.8828,-66.8958,82.27,77,58,2.06,broken clouds
259,Tarabuco,BO,-19.1667,-64.9167,56.12,27,36,4.88,scattered clouds
260,Motygino,RU,58.1831,94.7592,48.83,72,4,4.16,clear sky
261,San Felipe,VE,10.3399,-68.7425,89.74,46,35,5.35,scattered clouds
262,Talwandi Bhai,IN,30.85,74.9333,97.57,9,3,6.46,clear sky
263,Nelson Bay,AU,-32.7167,152.15,61.0,97,100,5.41,light rain
264,Naples,IT,40.8333,14.25,77.86,72,7,8.05,clear sky
265,Patiya,BD,22.2931,91.9762,80.22,87,36,4.79,scattered clouds
266,Kiruna,SE,67.8557,20.2251,56.32,51,0,9.22,clear sky
267,Half Moon Bay,US,37.4636,-122.4286,68.88,71,75,8.05,mist
268,Hofn,IS,64.2539,-15.2082,53.62,58,75,17.27,broken clouds
