City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sulangan,PH,2022-05-22 04:38:28,11.1373,123.7228,84.16,70,89,2.57
68,Faanui,PF,2022-05-22 04:38:29,-16.4833,-151.75,80.8,72,10,11.43
69,Bilma,NE,2022-05-22 04:38:29,18.6853,12.9164,78.73,17,2,13.82
70,Kraliky,CZ,2022-05-22 04:38:30,50.0838,16.7605,52.09,87,44,4.03
71,El Cope,PA,2022-05-22 04:38:30,8.6167,-80.6,68.86,93,96,1.59
72,Laguna,US,2022-05-22 04:38:30,38.421,-121.4238,75.49,32,0,8.05
73,Alofi,NU,2022-05-22 04:38:31,-19.0595,-169.9187,78.69,83,22,3.44
74,Zemio,CF,2022-05-22 04:38:31,5.0314,25.1361,70.65,85,100,2.35
75,Saint-Philippe,RE,2022-05-22 04:35:40,-21.3585,55.7679,72.99,74,18,9.69
76,Iqaluit,CA,2022-05-22 04:34:23,63.7506,-68.5145,31.73,86,100,21.85
77,Mandalgovi,MN,2022-05-22 04:38:32,45.7625,106.2708,69.93,19,92,19.04
78,Mata,PT,2022-05-22 04:38:33,40.683,-7.4592,57.92,91,76,3.04
79,Saint George,US,2022-05-22 04:35:30,37.1041,-113.5841,73.99,16,0,8.05
80,Udomlya,RU,2022-05-22 04:38:33,57.8794,34.9925,39.92,54,7,8.03
81,Corralillo,CU,2022-05-22 04:38:34,22.9819,-80.5856,78.28,85,45,13.11
82,Carnarvon,AU,2022-05-22 04:34:23,-24.8667,113.6333,76.28,60,13,22.35
83,Kimberley,ZA,2022-05-22 04:38:34,-28.7323,24.7623,44.29,93,0,2.3
84,Mar Del Plata,AR,2022-05-22 04:29:18,-38.0023,-57.5575,47.95,92,23,4.61
85,Chuy,UY,2022-05-22 04:38:35,-33.6971,-53.4616,49.86,91,95,5.55
86,Souillac,MU,2022-05-22 04:38:36,-20.5167,57.5167,73.78,78,40,5.75
87,Antanifotsy,MG,2022-05-22 04:38:36,-19.65,47.3167,56.01,68,7,0.72
88,Sorland,NO,2022-05-22 04:35:44,67.667,12.6934,46.26,95,100,7.16
89,Rikitea,PF,2022-05-22 04:30:56,-23.1203,-134.9692,75.56,77,5,13.33
90,Bilibino,RU,2022-05-22 04:39:37,68.0546,166.4372,49.71,57,71,8.05
91,Narrabri,AU,2022-05-22 04:39:38,-30.3167,149.7833,58.73,78,99,7.87
92,New Norfolk,AU,2022-05-22 04:30:59,-42.7826,147.0587,55.92,52,90,1.21
93,Hermanus,ZA,2022-05-22 04:32:17,-34.4187,19.2345,55.98,78,26,6.53
94,Castro,BR,2022-05-22 04:35:36,-24.7911,-50.0119,43.21,82,1,2.86
95,Esperance,AU,2022-05-22 04:39:39,-33.8667,121.9,74.37,50,22,17.87
96,Ponta Do Sol,PT,2022-05-22 04:39:40,32.6667,-17.1,66.83,77,64,3.29
97,Oistins,BB,2022-05-22 04:38:53,13.0667,-59.5333,80.69,74,20,19.57
98,Feltre,IT,2022-05-22 04:39:40,46.0235,11.907,68.13,89,56,3.71
99,Camana,PE,2022-05-22 04:39:41,-16.6228,-72.7111,65.26,85,95,6.8
100,Forbes,AU,2022-05-22 04:39:41,-33.3833,148.0167,69.93,49,17,7.72
101,Ambon,ID,2022-05-22 04:39:42,-3.6954,128.1814,87.94,74,40,4.61
102,Ngunguru,NZ,2022-05-22 04:39:43,-35.6167,174.5,60.94,73,100,12.97
103,Provideniya,RU,2022-05-22 04:39:43,64.3833,-173.3,49.01,53,99,10.65
104,Cururupu,BR,2022-05-22 04:35:32,-1.8283,-44.8683,71.02,98,35,1.74
105,Cape Town,ZA,2022-05-22 04:28:18,-33.9258,18.4232,56.12,89,0,6.91
